 Date :22/04/2019
 SiteID: 2012
 Site Name: Todays Clean Energy,Barod
 Meter Number: 1 
ReadTime,Power,Reactive Power,Active Energy Import,Active Energy Export,Reactive Energy Import,Reactive Energy Export,Frequency,Phase1 Voltage,Phase2 Voltage,Phase3 Voltage,Phase1 Current,Phase2 Current,Phase3 Current,Power Factor
00:00,-10,51,160814,46089802,1565275,831737,501100.011200458,33215998.4223247,33326998.4170525,32842998.4400413,1,1,1,-197999.990595505
00:15,-10,50,160817,46089802,1565275,831749,499600.01116693,33124998.426647,33195998.4232747,32677998.4478784,1,1,1,-200999.990453013
00:30,-11,51,160819,46089802,1565275,831762,500500.011187047,33265998.4199499,33350998.4159126,32830998.4406113,1,1,1,-202999.990358018
00:45,-11,51,160822,46089802,1565275,831775,500600.011189282,33339998.416435,33415998.4128252,32893998.4376189,1,1,1,-203999.99031052
01:00,-11,50,160824,46089802,1565275,831787,499400.01116246,33233998.4214698,33303998.418145,32829998.4406587,1,1,1,-203999.99031052
01:15,-11,51,160827,46089802,1565275,831800,500200.011180341,33382998.4143927,33472998.4101179,32974998.4337716,1,1,1,-202999.990358018
01:30,-11,51,160830,46089802,1565275,831813,500000.011175871,33255998.4204248,33428998.4122078,32899998.4373339,1,1,1,-203999.99031052
01:45,-11,51,160832,46089802,1565275,831825,500000.011175871,33376998.4146776,33439998.4116853,32950998.4349116,1,1,1,-202999.990358018
02:00,-11,50,160835,46089802,1565275,831838,499400.01116246,33307998.417955,33407998.4132052,32883998.4380939,1,1,1,-203999.99031052
02:15,-11,51,160838,46089802,1565275,831851,500000.011175871,33465998.4104504,33629998.4026608,33037998.4307793,1,1,1,-207999.990120531
02:30,-11,51,160840,46089802,1565275,831863,499800.011171401,33345998.4161501,33459998.4107354,32890998.4377614,1,1,1,-203999.99031052
02:45,-11,50,160843,46089802,1565275,831876,499500.011164695,33420998.4125878,33430998.4121128,33033998.4309693,1,1,1,-204999.990263023
03:00,-11,51,160846,46089802,1565275,831889,499900.011173636,33380998.4144877,33480998.4097379,32986998.4332016,1,1,1,-203999.99031052
03:15,-11,51,160848,46089802,1565275,831901,499400.01116246,33346998.4161026,33483998.4095954,32948998.4350066,1,1,1,-203999.99031052
03:30,-11,51,160851,46089802,1565275,831914,499900.011173636,33438998.4117328,33511998.4082655,33044998.4304468,1,1,1,-204999.990263023
03:45,-11,51,160854,46089802,1565275,831927,500500.011187047,33585998.4047507,33617998.4032308,33137998.4260295,1,1,1,-206999.990168028
04:00,-11,51,160856,46089802,1565275,831939,500400.011184812,33587998.4046557,33625998.4028508,33134998.426172,1,1,1,-204999.990263023
04:15,-11,51,160859,46089802,1565275,831952,499700.011169166,33549998.4064606,33577998.4051307,33081998.4286894,1,1,1,-206999.990168028
04:30,-11,51,160862,46089802,1565275,831965,500400.011184812,33622998.4029933,33641998.4020908,33179998.4240346,1,1,1,-208999.990073033
04:45,-11,51,160864,46089802,1565275,831977,499500.011164695,33595998.4042757,33602998.4039432,33128998.426457,1,1,1,-209999.990025536
05:00,-11,51,160867,46089802,1565275,831990,500400.011184812,33609998.4036107,33611998.4035157,33119998.4268845,1,1,1,-205999.990215525
05:15,-11,51,160870,46089802,1565275,832003,499600.01116693,33503998.4086455,33546998.4066031,33063998.4295443,1,1,1,-204999.990263023
05:30,-11,51,160872,46089802,1565275,832015,500300.011182577,33392998.4139177,33515998.4080755,32934998.4356715,1,1,1,-205999.990215525
05:45,-10,50,160875,46089802,1565275,832028,499100.011155755,33182998.4238921,33250998.4206623,32695998.4470234,1,1,1,-203999.99031052
06:00,-24,36,160879,46089802,1565275,832041,499400.01116246,33227998.4217548,33237998.4212798,32783998.4428436,5,5,5,-554999.973638916
06:15,85,34,160879,46089810,1565275,832050,499000.011153519,33051998.4301143,33189998.4235597,32664998.4484958,5,5,5,926999.955969865
06:30,62,48,160879,46089843,1565275,832059,500600.011189282,33071998.4291644,33193998.4233697,32702998.4466909,2,2,2,789999.962477015
06:45,596,30,160879,46089942,1565275,832068,499900.011173636,33003998.4323942,33140998.425887,32586998.4522006,12,11,10,998999.952550048
07:00,971,26,160879,46090133,1565275,832075,500400.011184812,33088998.4283569,33099998.4278344,32751998.4443635,18,17,17,999999.952502551
07:15,1909,3,160879,46090475,1565276,832079,500000.011175871,33082998.4286419,33143998.4257445,32752998.4443161,35,33,33,999999.952502551
07:30,2357,-10,160879,46091021,1565278,832080,500400.011184812,33119998.4268845,33300998.4182874,32836998.4403263,42,41,40,999999.952502551
07:45,2891,-35,160879,46091679,1565284,832080,500200.011180341,32967998.4341041,33128998.426457,32677998.4478784,52,51,49,999999.952502551
08:00,3351,-56,160879,46092444,1565295,832081,500800.011193753,33263998.4200449,33303998.418145,32929998.435909,60,58,57,999999.952502551
08:15,3467,-65,160879,46093271,1565309,832081,499600.01116693,33008998.4321567,33168998.4245571,32703998.4466434,62,61,59,999999.952502551
08:30,3916,-93,160879,46094187,1565328,832081,499600.01116693,32952998.4348166,33195998.4232747,32703998.4466434,70,69,67,999999.952502551
08:45,4458,-129,160879,46095239,1565356,832081,499100.011155755,32851998.4396138,33130998.426362,32615998.4508232,80,79,76,999999.952502551
09:00,4898,-163,160879,46096411,1565393,832081,500200.011180341,32896998.4374764,33207998.4227047,32744998.444696,87,87,84,-998999.952550048
09:15,5248,-192,160879,46097676,1565436,832081,498800.011149049,32875998.4384739,33186998.4237022,32712998.446216,93,94,90,-998999.952550048
09:30,5590,-222,160879,46099036,1565489,832081,499100.011155755,32879998.4382839,33249998.4207098,32773998.4433186,99,100,95,-998999.952550048
09:45,5736,-235,160879,46100509,1565551,832081,500000.011175871,33002998.4324417,33333998.41672,32912998.4367165,101,102,98,-998999.952550048
10:00,6442,-305,160879,46102027,1565619,832081,501000.011198223,33215998.4223247,33497998.4089305,33065998.4294494,113,114,110,-998999.952550048
10:15,6602,-321,160879,46103648,1565695,832081,500000.011175871,33114998.427122,33490998.4092629,33051998.4301143,116,117,112,-998999.952550048
10:30,6820,-345,160879,46105324,1565779,832081,500300.011182577,33048998.4302568,33449998.4112103,32968998.4340566,120,121,116,-998999.952550048
10:45,7047,-374,160879,46107057,1565868,832081,500300.011182577,33094998.4280719,33577998.4051307,33032998.4310168,124,125,119,-998999.952550048
11:00,7143,-377,160879,46108833,1565962,832081,500600.011189282,33235998.4213748,33539998.4069356,33095998.4280244,125,126,122,-998999.952550048
11:15,7261,-395,160879,46110637,1566060,832081,500400.011184812,33109998.4273595,33486998.4094529,33032998.4310168,127,129,124,-998999.952550048
11:30,7364,-406,160879,46112449,1566159,832081,500600.011189282,33125998.4265995,33433998.4119703,33005998.4322992,129,130,126,-997999.952597546
11:45,7480,-418,160879,46114306,1566262,832081,499900.011173636,33091998.4282144,33390998.4140127,32950998.4349116,132,132,128,-997999.952597546
12:00,7451,-415,160879,46116161,1566365,832081,500500.011187047,33227998.4217548,33600998.4040382,33173998.4243196,130,131,126,-997999.952597546
12:15,7653,-432,160879,46118051,1566472,832081,500300.011182577,33376998.4146776,33804998.3943487,33337998.41653,133,135,129,-997999.952597546
12:30,7830,-449,160879,46119974,1566580,832081,499800.011171401,33535998.4071255,33885998.3905014,33413998.4129202,136,137,132,-997999.952597546
12:45,7686,-429,160879,46121905,1566689,832081,500000.011175871,33621998.4030408,33916998.389029,33430998.4121128,133,134,129,-997999.952597546
13:00,7629,-428,160879,46123829,1566798,832081,500200.011180341,33489998.4093104,33870998.3912139,33377998.4146301,133,133,128,-997999.952597546
13:15,6093,-297,160879,46125729,1566905,832081,499100.011155755,33432998.4120178,33736998.3975786,33224998.4218973,106,107,103,-998999.952550048
13:30,7382,-396,160879,46127538,1567003,832081,500100.011178106,33563998.4057956,33889998.3903115,33404998.4133477,128,129,124,-998999.952550048
13:45,6327,-296,160879,46129324,1567097,832081,500300.011182577,33522998.407743,33837998.3927813,33352998.4158176,110,110,106,-998999.952550048
14:00,3587,-107,160879,46130238,1567128,832082,500700.011191517,33407998.4132052,33695998.399526,33227998.4217548,63,63,60,999999.952502551
14:15,7340,-405,160879,46131355,1567172,832082,499500.011164695,33389998.4140602,33735998.3976261,33216998.4222772,128,129,124,-997999.952597546
14:30,6030,-280,160879,46132582,1567223,832082,499500.011164695,33283998.4190949,33497998.4089305,33054998.4299718,106,106,103,-998999.952550048
14:45,2145,-9,160879,46133357,1567246,832083,499500.011164695,33213998.4224197,33430998.4121128,32990998.4330117,38,38,36,999999.952502551
15:00,6341,-296,160879,46134720,1567303,832083,500000.011175871,33380998.4144877,33633998.4024708,33247998.4208048,111,111,107,-998999.952550048
15:15,5720,-242,160879,46136182,1567366,832083,500100.011178106,33271998.4196649,33588998.4046082,33126998.426552,100,101,97,-998999.952550048
15:30,5239,-189,160879,46137579,1567423,832083,500600.011189282,33328998.4169575,33568998.4055581,33114998.427122,92,92,89,-998999.952550048
15:45,3768,-108,160879,46138820,1567466,832083,500200.011180341,33164998.4247471,33408998.4131577,32931998.435814,67,67,64,999999.952502551
16:00,1303,19,160879,46139718,1567491,832084,501100.011200458,33267998.4198549,33474998.4100229,33026998.4313018,24,23,22,999999.952502551
16:15,4169,-111,160879,46140381,1567504,832086,500200.011180341,33333998.41672,33574998.4052731,33071998.4291644,74,73,70,999999.952502551
