 Date :22/04/2019
 SiteID: 2012
 Site Name: Todays Clean Energy,Barod
 Meter Number: 2 
ReadTime,Power,Reactive Power,Active Energy Import,Active Energy Export,Reactive Energy Import,Reactive Energy Export,Frequency,Phase1 Voltage,Phase2 Voltage,Phase3 Voltage,Phase1 Current,Phase2 Current,Phase3 Current,Power Factor
00:00,-15,96,198085,39920164,859769,1590644,501100.011200458,33561998.4058906,33464998.4104979,33358998.4155326,2,2,2,-156999.9925429
00:15,-15,95,198089,39920164,859769,1590668,499700.011169166,33449998.4112103,33370998.4149626,33197998.4231797,2,2,2,-155999.992590398
00:30,-15,95,198093,39920164,859769,1590692,500500.011187047,33585998.4047507,33522998.407743,33354998.4157226,2,2,2,-156999.9925429
00:45,-15,95,198096,39920164,859769,1590715,500500.011187047,33640998.4021383,33567998.4056056,33382998.4143927,2,2,2,-157999.992495403
01:00,-15,95,198100,39920164,859769,1590739,499500.011164695,33543998.4067456,33464998.4104979,33323998.417195,2,2,2,-158999.992447906
01:15,-15,95,198104,39920164,859769,1590763,500300.011182577,33708998.3989085,33618998.4031833,33490998.4092629,2,2,2,-159999.992400408
01:30,-15,95,198108,39920164,859769,1590787,500000.011175871,33657998.4013309,33505998.4085505,33418998.4126827,2,2,2,-159999.992400408
01:45,-15,95,198112,39920164,859769,1590810,500100.011178106,33675998.4004759,33611998.4035157,33474998.4100229,2,2,2,-158999.992447906
02:00,-15,95,198115,39920164,859769,1590834,499500.011164695,33643998.4019958,33559998.4059856,33399998.4135852,2,2,2,-158999.992447906
02:15,-16,95,198119,39920164,859769,1590858,500000.011175871,33869998.3912614,33712998.3987185,33560998.4059381,2,2,2,-161999.992305413
02:30,-15,95,198123,39920164,859769,1590881,499900.011173636,33699998.399336,33602998.4039432,33424998.4123978,2,2,2,-159999.992400408
02:45,-15,94,198127,39920164,859769,1590905,499500.011164695,33669998.4007609,33672998.4006184,33558998.4060331,2,2,2,-160999.992352911
03:00,-15,95,198131,39920164,859769,1590929,500000.011175871,33714998.3986235,33628998.4027083,33509998.4083605,2,2,2,-160999.992352911
03:15,-15,94,198135,39920164,859769,1590952,499400.01116246,33730998.3978635,33588998.4046082,33463998.4105454,2,2,2,-160999.992352911
03:30,-15,95,198139,39920164,859769,1590976,499800.011171401,33750998.3969136,33681998.4001909,33563998.4057956,2,2,2,-160999.992352911
03:45,-16,95,198142,39920164,859769,1591000,500500.011187047,33863998.3915464,33826998.3933038,33664998.4009984,2,2,2,-161999.992305413
04:00,-16,95,198146,39920164,859769,1591023,500400.011184812,33878998.3908339,33835998.3928763,33674998.4005234,2,2,2,-161999.992305413
04:15,-16,95,198150,39920164,859769,1591047,499700.011169166,33826998.3933038,33803998.3943962,33633998.4024708,2,2,2,-162999.992257916
04:30,-16,95,198154,39920164,859769,1591071,500400.011184812,33876998.3909289,33869998.3912614,33712998.3987185,2,2,2,-164999.992162921
04:45,-16,94,198158,39920164,859769,1591095,499400.01116246,33836998.3928288,33851998.3921164,33657998.4013309,2,2,2,-164999.992162921
05:00,-16,95,198162,39920164,859769,1591118,500400.011184812,33854998.3919739,33863998.3915464,33633998.4024708,2,2,2,-163999.992210418
05:15,-16,95,198166,39920164,859769,1591142,499600.01116693,33787998.3951562,33757998.3965811,33593998.4043707,2,2,2,-163999.992210418
05:30,-16,95,198170,39920164,859769,1591166,500300.011182577,33760998.3964386,33651998.4016158,33460998.4106879,2,2,2,-161999.992305413
05:45,-15,94,198174,39920164,859769,1591189,499100.011155755,33508998.408408,33451998.4111153,33233998.4214698,2,2,2,-159999.992400408
06:00,-23,115,198179,39920164,859769,1591213,499400.01116246,33454998.4109728,33481998.4096904,33314998.4176225,6,5,5,-199999.99050051
06:15,69,89,198180,39920169,859769,1591236,499000.011153519,33469998.4102604,33338998.4164825,33244998.4209473,6,5,6,614999.970789069
06:30,54,93,198180,39920197,859769,1591258,500600.011189282,33454998.4109728,33328998.4169575,33240998.4211373,3,3,3,497999.97634627
06:45,476,91,198180,39920273,859769,1591281,499800.011171401,33391998.4139652,33275998.4194749,33189998.4235597,9,9,12,981999.953357505
07:00,793,90,198180,39920427,859769,1591304,500400.011184812,33352998.4158176,33304998.4180975,33235998.4213748,14,14,16,993999.952787536
07:15,1634,76,198180,39920715,859769,1591325,500100.011178106,33417998.4127302,33317998.41748,33281998.4191899,27,28,31,998999.952550048
07:30,2072,66,198180,39921188,859769,1591342,500500.011187047,33551998.4063656,33403998.4133952,33440998.4116378,34,36,38,999999.952502551
07:45,2591,46,198180,39921766,859769,1591356,500200.011180341,33360998.4154376,33227998.4217548,33228998.4217073,43,45,48,999999.952502551
08:00,3039,27,198180,39922461,859769,1591366,500900.011195988,33543998.4067456,33451998.4111153,33412998.4129677,51,52,55,999999.952502551
08:15,3041,27,198180,39923202,859769,1591373,499600.01116693,33389998.4140602,33258998.4202823,33258998.4202823,51,53,56,999999.952502551
08:30,3520,0,198180,39924021,859769,1591377,499600.01116693,33421998.4125403,33197998.4231797,33238998.4212323,58,61,64,999999.952502551
08:45,3988,-31,198180,39924961,859773,1591377,499000.011153519,33370998.4149626,33073998.4290694,33145998.4256496,66,70,72,999999.952502551
09:00,4363,-54,198180,39926007,859784,1591377,500100.011178106,33412998.4129677,33117998.4269795,33249998.4207098,73,77,78,999999.952502551
09:15,4732,-80,198180,39927141,859800,1591377,498800.011149049,33413998.4129202,33113998.4271695,33246998.4208523,79,83,85,999999.952502551
09:30,5076,-107,198180,39928371,859824,1591377,499200.01115799,33496998.4089779,33126998.426552,33338998.4164825,84,90,91,999999.952502551
09:45,4475,-63,198180,39929704,859856,1591377,500000.011175871,33521998.4077905,33226998.4218023,33391998.4139652,74,79,80,999999.952502551
10:00,5864,-170,198180,39931060,859891,1591377,501000.011198223,33701998.399241,33447998.4113053,33585998.4047507,97,102,104,999999.952502551
10:15,5994,-181,198180,39932532,859934,1591377,500000.011175871,33681998.4001909,33336998.4165775,33563998.4057956,99,105,106,999999.952502551
10:30,6223,-210,198180,39934063,859983,1591377,500300.011182577,33706998.3990035,33298998.4183824,33508998.408408,103,110,110,-998999.952550048
10:45,6445,-231,198180,39935648,860037,1591377,500300.011182577,33754998.3967236,33339998.416435,33549998.4064606,106,113,114,-998999.952550048
11:00,6530,-231,198180,39937269,860094,1591377,500600.011189282,33753998.3967711,33444998.4114478,33614998.4033732,108,114,115,-998999.952550048
11:15,6632,-244,198180,39938924,860155,1591377,500400.011184812,33699998.399336,33362998.4153426,33532998.407268,110,116,117,-998999.952550048
11:30,6774,-257,198180,39940586,860217,1591377,500600.011189282,33673998.4005709,33354998.4157226,33516998.408028,113,119,120,-998999.952550048
11:45,6790,-256,198180,39942292,860282,1591377,499900.011173636,33598998.4041332,33293998.4186199,33454998.4109728,113,119,120,-998999.952550048
12:00,6871,-271,198180,39944000,860348,1591377,500500.011187047,33815998.3938263,33467998.4103554,33633998.4024708,114,120,121,-998999.952550048
12:15,7032,-278,198180,39945750,860417,1591377,500300.011182577,34032998.3835193,33629998.4026608,33855998.3919264,115,122,123,-998999.952550048
12:30,6258,-227,198180,39947511,860488,1591377,499700.011169166,34091998.380717,33764998.3962486,33916998.389029,103,108,109,-998999.952550048
12:45,7188,-291,198180,39949166,860551,1591377,500000.011175871,34154998.3777246,33887998.3904064,34009998.3846118,118,123,125,-998999.952550048
13:00,7102,-283,198180,39950952,860623,1591377,500200.011180341,34106998.3800045,33747998.3970561,33923998.3886965,117,123,124,-998999.952550048
13:15,4441,-92,198180,39952678,860691,1591377,499000.011153519,33915998.3890765,33639998.4021858,33695998.399526,73,77,79,999999.952502551
13:30,6860,-261,198180,39954330,860752,1591377,500100.011178106,34109998.379862,33771998.3959161,33942998.3877941,113,118,120,-998999.952550048
13:45,4497,-81,198180,39955899,860805,1591377,500200.011180341,34028998.3837093,33722998.3982435,33846998.3923538,73,78,79,999999.952502551
14:00,2690,29,198180,39956498,860811,1591390,500700.011191517,33934998.3881741,33630998.4026133,33725998.398101,43,47,49,999999.952502551
14:15,6702,-247,198180,39957837,860850,1591391,499600.01116693,33965998.3867016,33637998.4022808,33760998.3964386,110,116,118,-998999.952550048
14:30,4184,-78,198180,39958989,860879,1591394,499400.01116246,33656998.4013784,33439998.4116853,33521998.4077905,69,73,75,999999.952502551
14:45,4279,-55,198180,39959467,860881,1591409,499500.011164695,33744998.3971986,33539998.4069356,33617998.4032308,71,74,76,999999.952502551
15:00,5851,-162,198180,39960761,860913,1591409,500000.011175871,33891998.3902165,33599998.4040857,33743998.3972461,97,101,103,999999.952502551
15:15,5609,-140,198180,39962193,860952,1591409,500100.011178106,33845998.3924013,33539998.4069356,33681998.4001909,93,97,99,999999.952502551
15:30,4040,-32,198180,39963505,860981,1591409,500500.011187047,33781998.3954412,33527998.4075055,33614998.4033732,67,70,72,999999.952502551
15:45,4831,-86,198180,39964742,861004,1591409,500200.011180341,33732998.3977686,33450998.4111628,33546998.4066031,80,84,86,999999.952502551
16:00,1255,78,198180,39965597,861016,1591416,501100.011200458,33723998.398196,33514998.408123,33573998.4053206,20,22,24,997999.952597546
16:15,3928,-27,198180,39966388,861020,1591422,500200.011180341,33781998.3954412,33535998.4071255,33585998.4047507,64,68,70,999999.952502551
16:30,3555,-5,198180,39966928,861021,1591434,500400.011184812,33809998.3941112,33572998.4053681,33590998.4045132,58,62,64,999999.952502551
16:45,2923,29,198180,39967561,861021,1591444,500200.011180341,33882998.3906439,33653998.4015208,33658998.4012834,48,50,53,999999.952502551
17:00,1091,81,198180,39968122,861021,1591456,501000.011198223,33772998.3958687,33577998.4051307,33541998.4068406,18,19,22,996999.952645043
