,Power,DateTime
0,-11.0,2018-08-21 00:00:00
1,-11.0,2018-08-21 00:15:00
2,-11.0,2018-08-21 00:30:00
3,-11.0,2018-08-21 00:45:00
4,-11.0,2018-08-21 01:00:00
5,-11.0,2018-08-21 01:15:00
6,-11.0,2018-08-21 01:30:00
7,-11.0,2018-08-21 01:45:00
8,-11.0,2018-08-21 02:45:00
9,0.0,2018-08-21 03:00:00
10,-12.0,2018-08-21 03:15:00
11,-12.0,2018-08-21 03:30:00
12,-11.0,2018-08-21 03:45:00
13,-12.0,2018-08-21 04:00:00
14,-12.0,2018-08-21 04:15:00
15,-12.0,2018-08-21 04:30:00
16,-11.0,2018-08-21 04:45:00
17,-11.0,2018-08-21 05:00:00
18,-12.0,2018-08-21 05:15:00
19,-11.0,2018-08-21 05:30:00
20,-11.0,2018-08-21 05:45:00
21,-11.0,2018-08-21 06:00:00
22,-11.0,2018-08-21 06:15:00
23,-29.0,2018-08-21 06:30:00
24,14.0,2018-08-21 06:45:00
25,-6.0,2018-08-21 07:00:00
26,359.0,2018-08-21 07:15:00
27,364.0,2018-08-21 07:30:00
28,275.0,2018-08-21 07:45:00
29,231.0,2018-08-21 08:00:00
30,223.0,2018-08-21 08:15:00
31,854.0,2018-08-21 08:30:00
32,828.0,2018-08-21 08:45:00
33,1001.0,2018-08-21 09:00:00
34,637.0,2018-08-21 09:15:00
35,640.0,2018-08-21 09:30:00
36,114.0,2018-08-21 09:45:00
37,13.0,2018-08-21 10:00:00
38,68.0,2018-08-21 10:15:00
39,650.0,2018-08-21 17:00:00
40,315.0,2018-08-21 17:15:00
41,190.0,2018-08-21 17:30:00
42,143.0,2018-08-21 17:45:00
43,151.0,2018-08-21 18:00:00
44,0.0,2018-08-21 18:15:00
45,0.0,2018-08-21 18:30:00
46,-44.0,2018-08-21 18:45:00
47,-11.0,2018-08-21 19:00:00
48,-11.0,2018-08-21 19:15:00
49,-11.0,2018-08-21 19:30:00
50,-11.0,2018-08-21 19:45:00
51,-11.0,2018-08-21 20:00:00
52,-12.0,2018-08-21 20:15:00
53,-11.0,2018-08-21 20:30:00
54,-11.0,2018-08-21 20:45:00
55,-11.0,2018-08-21 21:00:00
56,-11.0,2018-08-21 21:15:00
57,-11.0,2018-08-21 21:30:00
58,-11.0,2018-08-21 21:45:00
59,-11.0,2018-08-21 22:00:00
60,-11.0,2018-08-21 22:15:00
61,-11.0,2018-08-21 22:30:00
62,-11.0,2018-08-21 22:45:00
63,-12.0,2018-08-21 23:00:00
64,-11.0,2018-08-21 23:15:00
65,-11.0,2018-08-21 23:30:00
66,-11.0,2018-08-21 23:45:00
67,-12.0,2018-08-22 00:15:00
68,-11.0,2018-08-22 00:30:00
69,-11.0,2018-08-22 00:45:00
70,-12.0,2018-08-22 01:00:00
71,-12.0,2018-08-22 01:15:00
72,-12.0,2018-08-22 01:30:00
73,-12.0,2018-08-22 01:45:00
74,-12.0,2018-08-22 02:00:00
75,-11.0,2018-08-22 02:15:00
76,-11.0,2018-08-22 02:30:00
77,-12.0,2018-08-22 02:45:00
78,-11.0,2018-08-22 03:00:00
79,-11.0,2018-08-22 03:15:00
80,-12.0,2018-08-22 03:30:00
81,-12.0,2018-08-22 03:45:00
82,-12.0,2018-08-22 04:00:00
83,-12.0,2018-08-22 04:15:00
84,-12.0,2018-08-22 04:30:00
85,-12.0,2018-08-22 04:45:00
86,-11.0,2018-08-22 05:00:00
87,-11.0,2018-08-22 05:15:00
88,-11.0,2018-08-22 05:30:00
89,-11.0,2018-08-22 05:45:00
90,-11.0,2018-08-22 06:00:00
91,-11.0,2018-08-22 06:15:00
92,-5.0,2018-08-22 06:30:00
93,12.0,2018-08-22 06:45:00
94,49.0,2018-08-22 07:00:00
95,65.0,2018-08-22 07:15:00
96,46.0,2018-08-22 07:30:00
97,108.0,2018-08-22 07:45:00
98,6.0,2018-08-22 08:00:00
99,248.0,2018-08-22 08:15:00
100,280.0,2018-08-22 08:30:00
101,506.0,2018-08-22 08:45:00
102,272.0,2018-08-22 09:00:00
103,362.0,2018-08-22 09:15:00
104,644.0,2018-08-22 09:30:00
105,881.0,2018-08-22 09:45:00
106,1141.0,2018-08-22 10:00:00
107,438.0,2018-08-22 10:15:00
108,669.0,2018-08-22 10:30:00
109,1101.0,2018-08-22 10:45:00
110,818.0,2018-08-22 11:00:00
111,528.0,2018-08-22 11:15:00
112,331.0,2018-08-22 11:30:00
113,289.0,2018-08-22 11:45:00
114,444.0,2018-08-22 12:00:00
115,694.0,2018-08-22 12:15:00
116,788.0,2018-08-22 12:30:00
117,905.0,2018-08-22 12:45:00
118,1745.0,2018-08-22 13:00:00
119,1381.0,2018-08-22 13:15:00
120,1008.0,2018-08-22 13:30:00
121,-12.0,2018-08-22 16:15:00
122,338.0,2018-08-22 16:30:00
123,344.0,2018-08-22 16:45:00
124,269.0,2018-08-22 17:00:00
125,470.0,2018-08-22 17:15:00
126,428.0,2018-08-22 17:30:00
127,459.0,2018-08-22 17:45:00
128,341.0,2018-08-22 18:00:00
129,191.0,2018-08-22 18:15:00
130,36.0,2018-08-22 18:30:00
131,-27.0,2018-08-22 18:45:00
132,830.0,2018-08-23 10:50:00
133,1173.0,2018-08-23 11:00:00
134,1900.0,2018-08-23 11:10:00
135,1427.0,2018-08-23 11:20:00
136,2528.0,2018-08-23 11:30:00
137,1367.0,2018-08-23 11:40:00
138,2980.0,2018-08-23 11:50:00
