,Power,DateTime
0,-11.0,2018-08-21 00:00:00
1,-11.0,2018-08-21 00:15:00
2,-11.0,2018-08-21 00:30:00
3,-11.0,2018-08-21 00:45:00
4,-11.0,2018-08-21 01:00:00
5,-11.0,2018-08-21 01:15:00
6,-11.0,2018-08-21 01:30:00
7,-11.0,2018-08-21 01:45:00
8,-11.0,2018-08-21 02:45:00
9,0.0,2018-08-21 03:00:00
10,-12.0,2018-08-21 03:15:00
11,-12.0,2018-08-21 03:30:00
12,-12.0,2018-08-21 03:45:00
13,-12.0,2018-08-21 04:00:00
14,-12.0,2018-08-21 04:15:00
15,-12.0,2018-08-21 04:30:00
16,-12.0,2018-08-21 04:45:00
17,-11.0,2018-08-21 05:00:00
18,-11.0,2018-08-21 05:15:00
19,-11.0,2018-08-21 05:30:00
20,-11.0,2018-08-21 05:45:00
21,-11.0,2018-08-21 06:00:00
22,-11.0,2018-08-21 06:15:00
23,-31.0,2018-08-21 06:30:00
24,14.0,2018-08-21 06:45:00
25,13.0,2018-08-21 07:00:00
26,356.0,2018-08-21 07:15:00
27,361.0,2018-08-21 07:30:00
28,259.0,2018-08-21 07:45:00
29,232.0,2018-08-21 08:00:00
30,229.0,2018-08-21 08:15:00
31,996.0,2018-08-21 08:30:00
32,825.0,2018-08-21 08:45:00
33,1096.0,2018-08-21 09:00:00
34,631.0,2018-08-21 09:15:00
35,638.0,2018-08-21 09:30:00
36,117.0,2018-08-21 09:45:00
37,11.0,2018-08-21 10:00:00
38,65.0,2018-08-21 10:15:00
39,629.0,2018-08-21 17:00:00
40,319.0,2018-08-21 17:15:00
41,185.0,2018-08-21 17:30:00
42,139.0,2018-08-21 17:45:00
43,152.0,2018-08-21 18:00:00
44,0.0,2018-08-21 18:15:00
45,-7.0,2018-08-21 18:30:00
46,-52.0,2018-08-21 18:45:00
47,-16.0,2018-08-21 19:00:00
48,-15.0,2018-08-21 19:15:00
49,-16.0,2018-08-21 19:30:00
50,-16.0,2018-08-21 19:45:00
51,-15.0,2018-08-21 20:00:00
52,-16.0,2018-08-21 20:15:00
53,-16.0,2018-08-21 20:30:00
54,-16.0,2018-08-21 20:45:00
55,-16.0,2018-08-21 21:00:00
56,-16.0,2018-08-21 21:15:00
57,-15.0,2018-08-21 21:30:00
58,-15.0,2018-08-21 21:45:00
59,-15.0,2018-08-21 22:00:00
60,-15.0,2018-08-21 22:15:00
61,-15.0,2018-08-21 22:30:00
62,-15.0,2018-08-21 22:45:00
63,-15.0,2018-08-21 23:00:00
64,-15.0,2018-08-21 23:15:00
65,-16.0,2018-08-21 23:30:00
66,-16.0,2018-08-21 23:45:00
67,-16.0,2018-08-22 00:15:00
68,-16.0,2018-08-22 00:30:00
69,-16.0,2018-08-22 00:45:00
70,-16.0,2018-08-22 01:00:00
71,-16.0,2018-08-22 01:15:00
72,-16.0,2018-08-22 01:30:00
73,-16.0,2018-08-22 01:45:00
74,-16.0,2018-08-22 02:00:00
75,-16.0,2018-08-22 02:15:00
76,-16.0,2018-08-22 02:30:00
77,-16.0,2018-08-22 02:45:00
78,-16.0,2018-08-22 03:00:00
79,-16.0,2018-08-22 03:15:00
80,-16.0,2018-08-22 03:30:00
81,-16.0,2018-08-22 03:45:00
82,-16.0,2018-08-22 04:00:00
83,-16.0,2018-08-22 04:15:00
84,-16.0,2018-08-22 04:30:00
85,-16.0,2018-08-22 04:45:00
86,-16.0,2018-08-22 05:00:00
87,-16.0,2018-08-22 05:15:00
88,-16.0,2018-08-22 05:30:00
89,-16.0,2018-08-22 05:45:00
90,-16.0,2018-08-22 06:00:00
91,-15.0,2018-08-22 06:15:00
92,-16.0,2018-08-22 06:30:00
93,-1.0,2018-08-22 06:45:00
94,-8.0,2018-08-22 07:00:00
95,37.0,2018-08-22 07:15:00
96,4.0,2018-08-22 07:30:00
97,76.0,2018-08-22 07:45:00
98,80.0,2018-08-22 08:00:00
99,251.0,2018-08-22 08:15:00
100,316.0,2018-08-22 08:30:00
101,424.0,2018-08-22 08:45:00
102,252.0,2018-08-22 09:00:00
103,376.0,2018-08-22 09:15:00
104,572.0,2018-08-22 09:30:00
105,700.0,2018-08-22 09:45:00
106,918.0,2018-08-22 10:00:00
107,536.0,2018-08-22 10:15:00
108,736.0,2018-08-22 10:30:00
109,1276.0,2018-08-22 10:45:00
110,759.0,2018-08-22 11:00:00
111,347.0,2018-08-22 11:15:00
112,365.0,2018-08-22 11:30:00
113,373.0,2018-08-22 11:45:00
114,400.0,2018-08-22 12:00:00
115,664.0,2018-08-22 12:15:00
116,667.0,2018-08-22 12:30:00
117,888.0,2018-08-22 12:45:00
118,1363.0,2018-08-22 13:00:00
119,1278.0,2018-08-22 13:15:00
120,989.0,2018-08-22 13:30:00
121,-18.0,2018-08-22 16:15:00
122,245.0,2018-08-22 16:30:00
123,328.0,2018-08-22 16:45:00
124,231.0,2018-08-22 17:00:00
125,444.0,2018-08-22 17:15:00
126,318.0,2018-08-22 17:30:00
127,427.0,2018-08-22 17:45:00
128,330.0,2018-08-22 18:00:00
129,179.0,2018-08-22 18:15:00
130,19.0,2018-08-22 18:30:00
131,-35.0,2018-08-22 18:45:00
132,715.0,2018-08-23 10:50:00
133,1002.0,2018-08-23 11:00:00
134,1603.0,2018-08-23 11:10:00
135,1815.0,2018-08-23 11:20:00
136,2191.0,2018-08-23 11:30:00
137,1095.0,2018-08-23 11:40:00
138,2610.0,2018-08-23 11:50:00
